Group Name,Physics Hour,Average Radius,Average Circumference
"Jack, Henry, Tucker, saif / Roadrunners ",1st,0.0575,0.38
McDonald,1st,0.004,0.25
McDonald,1st,0.0045,0.2
McDonald ,1st,0.02,0.13
McDonald ,1st,0.05,0.3
Placeholder,1st,0.0175,0.12
Placeholder,1st,12.5,0.68
Placeholders,1st,0.0395,0.24565
Placeholders,1st,0.0334,0.21
Purple,1st,0.1238,0.8225
Purple,1st,0.02,0.125
Purple,1st,0.03625,0.23
Purple,1st,0.04,0.245
Quantum Thinkers,1st,0.1275,0.82
Quantum Thinkers,1st,0.04,0.26
Quantum Thinkers,1st,0.325,2.14
Quantum Thinkers,1st,0.0375,0.245
Roadrunners ,1st,0.0375,0.24
Roadrunners ,1st,0.4,0.24
Roadrunners ,1st,0.0175,0.12
Chickadees,3rd,0.125,0.82
Chickadees ,3rd,0.325,2
Group 1,3rd,0.13,0.8
Group 1,3rd,0.13,0.8
Group 1,3rd,0.04825,0.1415
Group 1,3rd,0.02,0.105
Group 1,3rd,0.0415,0.2275
Jeffs,3rd,0.045,0.22
Mac and cheese lovers,3rd,0.04,0.25
Mac and cheese lovers ,3rd,0.02,0.1125
Mac n cheese lovers,3rd,0.25,0.77
Mac n Cheese Lovers,3rd,0.074,0.236
Mac n Cheese Lovers,3rd,0.037,0.236
Physics Mafia,3rd,0.126,0.802
Physics Mafia,3rd,0.3775,0.245
Physics Mafia,3rd,0.01975,0.1305
Physics Mafia,3rd,0.4425,2.7825
The chickadees,3rd,0.035,0.24
The Chickadees,3rd,0.04,0.25
The flamingos ,3rd,0.13,0.772
The flamingos ,3rd,0.04,0.26
The flamingos ,3rd,0.0425,0.24
The flamingos ,3rd,0.025,0.12
The Jeffs,3rd,0.126,0.782
The Jeffs,3rd,0.04,0.24
The unicorns,3rd,0.33,2.03
The unicorns ,3rd,0.0425,0.255
The unicorns ,3rd,12.5,0.795
The unicorns ,3rd,0.04,0.24
Group 1,5th,0.019125,0.11975
Group 1,5th,0.03925,0.253
Group 1,5th,0.12625,0.079
Group 4,5th,0.32,2
Group 4,5th,0.1275,0.81
Group 4,5th,0.0175,0.0625
Group 4,5th,0.06,0.195
Jeffs,5th,0.035,0.11
Jt,5th,0.04,0.25
Jt,5th,0.175,0.8
Jt,5th,0.54,1.75
Jt,5th,0.08,0.23
Reid Mitchell,5th,0.09,0.275
White,5th,0.13,0.805
White chocolate,5th,0.03,0.26
White chocolate,5th,0.0425,0.26
White chocolate,5th,0.0575,0.355
Average group name,7th,0.13,0.79
Average group name ,7th,0.4,0.26
Average group name ,7th,0.39,2.46
Average group name ,7th,0.03,0.23
Car crash,7th,10.5,167
Car crash,7th,10.5,167
Car crash,7th,13,74
Car crash,7th,3.5,25
Car crash,7th,4,26
Don’t write that down,7th,0.04,0.26
Don’t write that down,7th,0.55,0.34
Don’t write that down!,7th,3.6,11.7
Don’t write that down!,7th,0.2,0.116
Don’t Write that Down! :^(,7th,0.45,3.02
Goonies,7th,0.35,2.11
Goonies,7th,0.35,2.11
Goonies,7th,0.02,0.13
Goonies,7th,0.02,0.13
Goonies,7th,0.125,0.8
Goonies,7th,0.125,0.8
Goonies,7th,0.125,0.8
Goonies,7th,0.045,0.28
Goonies,7th,0.045,0.28
Goonies,7th,0.045,0.28
Group 1,7th,0.03825,0.02455
HCH,7th,0.0425,0.18875
HCH,7th,0.075,0.24
HCH,7th,0.02,0.115
HCH,7th,0.125,0.805
KAB,7th,5.25,34
KAB,7th,4,24.5
KAB,7th,0.0525,0.34
KAB,7th,0.04,0.245
KAB,7th,0.0225,0.125
KAB,7th,0.13,0.81
MTLC,7th,0.25,24
MTLC,7th,0.15,12
MTLC,7th,1.275,78
MTLC,7th,4,23
The goonies,7th,0.02,0.13
The Goonies,7th,0.125,0.8
The goonies ,7th,0.35,2.11
