Group Name,Physics Hour,Average Radius 
The awesome group ,1st,0.9375,0.5725
Group ,1st,0.027215,0.17099
The group,1st,3,3
The Group,1st,0.0896,0.562688
The group ,1st,0.4375,2.7475
The group,1st,4.05,0.405
The group,1st,3,0.003
1011,1st,0.0225,0.18
Group Awesome,1st,0.08944,0.56196
1011,1st,0.035,0.24
Group Awesome,1st,0.126,0.89168
1011,1st,0.04,0.26
1011,1st,0.09,0.565
The awesome group,1st,0.04,0.26
Group Awesome,1st,0.04112,0.25836
2,1st,0.423,2.755
Group Awesome,1st,0.3276,2.058
The I Don’t Knows,1st,0.1265,0.795
Group 2,1st,0.09,0.5675
2,1st,0.125,0.78
The I Don’t Know’s,1st,0.0405,0.2525
Group 2,1st,0.04,0.24
The I Don’t Know’s,1st,0.091,0.5765
The I Don’t Know’s,1st,0.03725,0.231
The awesome group,1st,0.0275,0.18
The awesome group,1st,0.13,0.806
Group 7 ,1st,0.4,2.6
Group 7 ,1st,0.0425,0.255
Group 7,1st,0.255,0.0425
Group 1,1st,0.04,0.263
Group 7 ,1st,0.0925,0.5775
Group 1,1st,0.131,0.81
Group 7,1st,0.0425,0.255
Group 7 ,1st,0.1275,0.81
Group 7,1st,0.0425,0.255
Group 1,1st,0.083,0.576
Group 7,1st,0.3275,2.075
Group 7,1st,0.9205,0.5775
Group 7,1st,0.0925,0.5775
Group 1,1st,0.273,1.72
Group 7 ,1st,0.1275,0.81
Group 7,1st,0.1275,0.81
Group 7 ,1st,0.275,2.075
Group 7,1st,0.3275,0.275
Group 3,3rd,0.375,0.23
Group 3,3rd,0.04,0.24
Nash,3rd,0.27,1.65
Nash,3rd,0.13,0.77
Fernando,3rd,0.04575,0.07874
Nash,3rd,0.11,0.54
Fernando,3rd,0.03048,0.06096
Nash,3rd,0.4,0.23
Fernando,3rd,0.09906,0.018034
Group 3,3rd,0.1525,0.78
Group 3,3rd,0.09,0.54
Blank,3rd,0.125,0.787
Blank,3rd,0.04,0.262
SDIYBT,3rd,0.05,0.82
Blank,3rd,0.04,0.262
Blank,3rd,0.055,0.17
Blank,3rd,0.09,0.558
Group 4,3rd,0.3625,0.245
Blank,3rd,9,55.83
Group 4,3rd,0.125,0.82
Blank,3rd,0.055,0.17
Group 4,3rd,0.04,0.275
Group 4,3rd,0.087,0.61
Blank,3rd,0.09,0.5583
Chamber,3rd,0.075,0.567
Chamber,3rd,0.0458,0.25
Chamber ,3rd,0.325,2.047
Chamber,3rd,0.127,0.79
Blank,3rd,0.055,0.1726
M&M’s,3rd,0.032,0.0867
MnMs,3rd,0.125,0.7902
M&M’s ,3rd,0.0425,0.26
MnMs ,3rd,0.893,0.5583
SJM,5th,0.024,0.15
SJM,5th,0.037,0.23
SJM,5th,0.089,0.56
7,5th,7,22
SJM,5th,0.13,0.8
Group 314159265349,5th,0.07,0.5
7,5th,5,31.5
7,5th,2,6.5
7,5th,3,9.51
Elephants,5th,2.875,18.125
Elephants ,5th,3.725,23.25
Elephants ,5th,4,25.625
Elephants ,5th,12.75,79
Paper cuts,5th,0.04,0.255
Paper cuts,5th,0.035,0.24
Paper cuts,5th,0.07,0.715
Paper cuts,5th,0.085,0.515
DNM,5th,0.95,0.19
DNM,5th,0.125,0.75
DNM,5th,0.04,0.23
DNM,5th,0.27,1.73
Black Panthers,5th,4.125,25
Black Panthers,5th,9,56
Black Panthers,5th,13,81
Black Panthers,5th,3.5,18
Group 10,5th,0.11,0.48
Group 10,5th,0.4,0.8
Group 10,5th,0.29,1.31
Group 10,5th,1.11,5.2
Group 10,5th,0.29,0.57
Group 10,5th,0.35,1.65
Redbull,7th,0.42,2.81
BALK,7th,0.04,0.25
BALK,7th,0.035,0.23
Redbull,7th,0.035,0.23
Dragons,7th,0.3683,2.41
BALK,7th,0.09,0.6
Redbull,7th,0.0375,0.25
Redbull,7th,0.125,0.8
Goon squad,7th,12.5,82
Dragons,7th,9,54.5
BALK,7th,0.44,2.9
Goon squad,7th,8,27
Goon squad,7th,9,58
Dragons,7th,0.09,0.545
Goon squad,7th,38,240
Brennan and Wyatt,7th,0.05,0.32
BALK,7th,0.04,0.25
Brennan and wyatt,7th,0.034,0.2
Brennan and Wyatt,7th,0.045,0.23
BALK,7th,0.44,2.75
Brennan and Wyatt,7th,0.05,0.25
Brennan and Wyatt ,7th,0.09,0.6
BALK,7th,0.17,0.6
BALK,7th,0.035,0.23
Dragons,7th,0.125,0.7175
Dragons,7th,0.04,0.255
BEEJ,7th,0.12,0.785
BEEJ,7th,0.044,0.389
BEEJ ,7th,0.03125,0.1155
BEEJ,7th,0.09475,0.5425
Ragebaiters,7th,0.085,0.56
Ragebaiters,7th,0.13,0.78
Ragebaiters,7th,0.04,0.26
Ragebaiters,7th,0.335,2.07
Alex ,1st,6,37.7
Alex,1st,1.5,9.4
Group 10,5th,0.36,22
Nam Brox,3rd,0.04,0.25333333
